x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
8,6,3,5,88.2,28.2,96.3,6.1,9.2,53,7.2,0,0
8,5,10,2,92.6,37.4,671.1,7.7,19,35,1.4,0,0
8,5,10,6,92.6,45.7,688.9,7.7,15.6,35,1.8,0,0
9,7,3,5,93.7,35.3,79.5,10,9.3,99,4.5,0.2,0
9,7,3,7,91.3,53.3,104.2,10.6,12.4,101,2.3,0,0
9,7,8,7,94.3,87.3,490,15.7,23.2,31,5.9,0,0
9,7,8,1,94.3,90.9,497.6,9.5,25.1,29,3.6,0,0
9,7,8,1,93.5,147.4,610.2,11.7,9,88,2.7,0,0
9,7,9,2,93,131.5,694.6,8,14.1,65,5.9,0,0
8,6,9,6,94.5,90,700.6,8.1,18.8,53,7.7,0,0
8,6,9,6,94.8,75.2,715,23.6,20.3,40,4.5,0,0
7,6,8,5,65.5,72.8,667.3,1.8,18,74,7.2,0,0
7,6,9,1,92.9,128.5,688.5,8,22.3,44,2.7,0,0
7,6,9,5,95.3,143.2,715.9,14.9,23.9,46,5.9,0,0
6,6,3,6,93.7,37.8,82.8,8.8,16.1,29,5.9,0,0
9,6,10,1,86.9,34.8,666.2,4,17.7,49,5.4,0,0
7,5,3,3,91.2,29.9,72.8,7.3,16.9,37,4.5,0,0
7,5,4,6,88.3,29.4,99.1,6.1,10.3,46,5,0,0
7,5,9,2,93,131.5,694.6,8,19.3,42,3.2,0,0
6,5,9,1,93.8,80.5,726.3,10.2,20.1,40,3.2,0,0
8,5,6,7,96.3,98.3,202,57.1,22,46,5,0,0
8,5,8,6,92.2,112.9,539.4,7.2,20.5,45,6.3,0,0
8,5,8,6,95.5,141.4,596.2,21.3,24.7,34,6.3,0,0
8,5,8,7,93.4,144.4,603.4,11.6,17.3,62,5.9,0,0
8,5,9,5,94.4,119.9,670,13.2,20,36,6.3,0,0
8,5,9,1,92.9,128.5,688.5,8,20.4,50,1.8,0,0
7,4,9,6,95.4,147.4,723.4,9.1,31.2,26,3.2,0,0
7,4,9,7,95.5,151.3,730.6,9.1,23.8,41,4.1,0,0
7,4,9,5,96.3,87.1,694.3,16.9,26.4,26,4.1,0,0
7,4,9,1,90.6,93.8,711.9,8.1,12.2,80,8.1,0,0
7,4,9,5,90.6,71.7,708.8,6.8,21.6,39,2.3,0,0
7,4,9,7,93.7,77.6,720.3,8.8,18.7,41,4.1,0,0
7,4,9,1,93.8,80.5,726.3,10.2,22.2,34,3.2,0,0
7,4,9,2,92.3,82.7,732.2,7.3,19.2,64,5,0,0
7,4,10,2,92.6,37.4,671.1,7.7,22.7,26,5,0,0
8,5,10,5,92,43.5,684.6,9.7,12.3,62,5.9,0,0
8,4,10,6,92.6,45.7,688.9,7.7,18.8,29,4.5,0,0
5,5,3,2,90.1,27.7,69.6,4.8,15.1,45,3.2,0,0
5,5,7,2,81.5,62.6,368.7,2.5,24.3,39,3.6,0,0
5,5,8,6,92.2,98.9,626.2,9.9,19.4,44,7.2,0,0
5,5,8,2,96.8,110.3,649.1,18,17.6,56,5.9,0,0
5,5,9,6,94.5,90,700.6,8.1,20.6,50,3.2,0,0
6,7,9,3,96.3,87.1,694.3,16.9,26.9,26,4.5,0,0
6,7,9,1,92.9,128.5,688.5,8,15.7,72,4.1,0,0
7,7,7,1,96.2,64.3,444.9,12,24,38,3.6,0,0
5,5,3,1,89.2,25.9,66.7,5.1,12.8,37,2.3,0,0
5,5,3,1,89.6,54.2,105.8,6,12,48,6.3,0,0
5,5,9,4,94.9,139,708.4,10.2,21.8,19,1.8,0,0
5,4,8,7,92.2,101.6,633.2,7.3,22.5,36,2.7,0,0
5,4,8,3,94.1,113.2,656.1,10.6,21.4,44,5.4,0,0
5,4,8,3,94.1,113.2,656.1,10.6,21.4,44,5.4,0,0
5,4,8,4,93.7,116.3,663.3,7.3,18.6,47,4.1,0,0
5,4,9,4,94.9,139,708.4,10.2,28.7,26,2.7,0,0
5,4,9,2,92.3,82.7,732.2,7.3,18.8,65,5.4,0,0
5,4,10,7,94.6,48.5,693.8,9.8,14.8,52,3.2,0,0
3,3,2,1,86,11.3,36,3.1,14.9,42,5.9,0,0
3,3,2,5,88.6,15.2,45,6.3,13.3,53,1.4,0,0
3,3,3,7,91.3,53.3,104.2,10.6,12.5,41,6.3,0,0
3,3,3,7,91.3,53.3,104.2,10.6,6.5,61,6.8,0,0
3,3,8,4,95,77.3,468.6,8.7,19.8,37,5.4,0,0
3,3,8,7,92.2,101.6,633.2,7.3,21.8,35,3.2,0,0
3,3,8,1,93.1,105.2,640.8,6.8,24.1,33,3.6,0,0
3,3,8,4,93.7,116.3,663.3,7.3,19.6,46,5,0,0
3,3,9,5,94.4,119.9,670,13.2,20.6,35,5.9,0,0
3,3,9,5,94.4,119.9,670,13.2,20.6,35,6.8,0,0
5,6,3,5,93.7,35.3,79.5,10,18.2,28,5,0,0
5,6,3,5,93.2,50.3,99.8,13.5,16.8,29,8.1,0,0
5,6,9,5,96.3,87.1,694.3,16.9,18.7,39,4.1,0,0
6,5,3,5,93.7,35.3,79.5,10,16.6,27,6.8,0,0
6,5,8,2,90.8,149.3,616.5,10,18.3,45,5,0,0
6,5,9,5,95.3,143.2,715.9,14.9,28.6,32,1.8,0,0
10,10,2,4,86.2,8.8,28.6,8.7,7.7,81,3.6,0,0
10,10,2,5,88.6,15.2,45,6.3,16.7,45,3.6,0,0
2,4,3,1,89.6,54.2,105.8,6,9.3,74,3.6,0,0
2,3,8,5,92.1,110,531.8,13.5,15.7,68,3.2,0,0
2,3,8,2,93,123.2,563.6,8,22.6,21,7.2,0,0
2,3,8,7,93.4,144.4,603.4,11.6,20.5,41,6.8,0,0
2,3,8,7,92.2,101.6,633.2,7.3,18.9,46,2.7,0,0
2,3,8,2,96.8,110.3,649.1,18,19.6,53,5,0,0
2,3,8,3,94.1,113.2,656.1,10.6,17.6,49,1.4,0,0
2,3,8,4,93.7,116.3,663.3,7.3,21.2,47,4.1,0,0
2,3,9,4,94.9,139,708.4,10.2,22.5,17,1.4,0,0
2,3,9,4,94.9,139,708.4,10.2,26.4,29,2.7,0,0
2,3,9,4,94.9,139,708.4,10.2,23.4,36,2.7,0,0
2,3,9,7,95.5,151.3,730.6,9.1,26.3,38,4.1,0,0
7,6,3,6,93.7,37.8,82.8,8.8,18.4,27,5.4,0,0
7,6,8,6,92.2,98.9,626.2,9.9,15.7,61,6.3,0,0
9,7,3,5,93.7,37.8,82.8,8.8,18.4,26,5.9,0,0
9,7,8,7,94.3,87.3,490,15.7,21.8,34,6.8,0,0
9,7,8,7,93.4,144.4,603.4,11.6,19.2,45,5.4,0,0
9,7,8,1,93.1,105.2,640.8,6.8,24.4,24,3.2,0,0
5,5,9,7,91.7,92,706.4,5.8,18.8,66,1.8,0,0
4,5,2,6,85.9,10,32.2,3.6,13.7,50,2.3,0,0
4,5,3,6,71,4.4,17.5,1.7,18.4,26,5.9,0,0
4,5,8,7,93.4,144.4,603.4,11.6,12.6,89,5,0,0
4,5,8,7,93.4,144.4,603.4,11.6,20.8,41,5.9,0,0
4,5,8,7,93.4,144.4,603.4,11.6,20.8,41,5.9,0,0
4,5,8,2,90.8,149.3,616.5,10,15.4,68,5.9,0,0
3,5,8,2,96.8,110.3,649.1,18,21.1,42,4.5,0,0
3,5,9,6,94.5,123.1,676.4,9.6,25.1,31,5,0,0
3,5,1,6,84.1,5.7,11.3,3.9,6.3,80,3.6,0,0
5,6,3,5,87.9,21.5,59.3,3.8,13.7,54,6.8,0,0
5,6,3,4,93.4,32.7,76.3,8.5,19.2,31,3.6,0,0
5,6,8,7,92.2,101.6,633.2,7.3,22.4,35,3.6,0,0
5,6,9,6,94.5,90,700.6,8.1,21.3,47,3.6,0,0
5,6,9,1,90.6,93.8,711.9,8.1,18.4,58,5.9,0,0
5,5,3,5,87.9,21.5,59.3,3.8,14.7,45,6.3,0,0
4,5,3,5,93.7,35.3,79.5,10,19.8,20,5,0,0
4,5,9,7,91.7,92,706.4,5.8,23.8,41,4.1,0,0
4,5,9,1,93.8,80.5,726.3,10.2,19.9,37,3.2,0,0
4,5,3,2,90.1,27.7,69.6,4.8,16.8,29,8.1,0,0
4,6,3,2,90.1,27.7,69.6,4.8,16.5,29,6.8,0,0
4,5,3,6,93.7,37.8,82.8,8.8,12.6,32,6.8,0,0
4,5,3,6,93.7,37.8,82.8,8.8,16.2,29,5.4,0,0
4,5,3,1,92.1,41.7,88.6,7.2,11.6,32,4.5,0,0
4,5,8,4,95,77.3,468.6,8.7,20.6,38,3.6,0,0
4,5,8,1,93.5,147.4,610.2,11.7,11.3,76,2.7,0,0
4,5,8,1,93.5,147.4,610.2,11.7,18.1,45,5.9,0,0
4,5,9,7,94.4,126.1,682.7,9.5,23.5,44,5.9,0,0
4,5,9,2,86.4,75.4,673.9,4.2,18.9,47,3.6,0,0
4,5,9,5,96.3,87.1,694.3,16.9,20.8,52,5.9,0,0
4,5,10,7,94.6,48.5,693.8,9.8,21.6,26,5.9,0,0
4,6,3,1,89.6,54.2,105.8,6,10,51,2.7,0,0
4,6,9,5,95.5,151.3,730.6,9.1,18.2,45,3.6,0,0
4,6,10,3,93.4,39.9,675.8,6.2,16.9,48,4.1,0,0
3,6,10,7,94.6,48.5,693.8,9.8,16.4,37,1.4,0,0
5,7,2,6,70.2,23.5,89.2,1.8,16.4,42,3.2,0,0
5,7,3,1,89.2,25.9,66.7,5.1,15,41,3.6,0,0
5,7,3,7,91.3,53.3,104.2,10.6,11.6,48,5.4,0,0
5,7,9,4,95.7,82.9,687.2,18.9,18.6,44,3.6,0,0
4,6,3,2,90.1,27.7,69.6,4.8,15.9,40,3.2,0,0
4,6,8,6,95.5,141.4,596.2,21.3,18.6,54,6.3,0,0
4,7,9,7,94.4,126.1,682.7,9.5,18.2,60,1.8,0,0
4,7,9,1,92.9,128.5,688.5,8,16.6,68,3.6,0,0
10,10,7,2,87.8,50.3,315.4,4.9,19,44,3.2,0,0.36
2,5,9,2,93,131.5,694.6,8,22.7,40,2.7,0,0.43
3,6,9,1,92.9,128.5,688.5,8,22.9,41,2.3,0,0.47
2,3,8,3,97.5,101.9,515.3,14.2,24.3,33,5,0,0.55
9,7,8,5,92.1,110,531.8,13.5,22.2,53,9.4,0,0.61
2,3,7,6,92,53.3,298.3,9.7,17.6,55,5.9,0,0.71
3,6,8,3,97.5,101.9,515.3,14.2,24.8,34,5.9,0,0.77
7,6,8,4,97.2,133.7,580.8,11.4,28.4,24,4.5,0,0.9
6,5,3,1,92.1,41.7,88.6,7.2,14.2,42,5.9,0,0.95
9,4,9,2,86.4,75.4,673.9,4.2,25.2,30,4.1,0,0.96
3,3,8,2,96.8,110.3,649.1,18,18.4,45,7.2,0,1.07
9,7,9,4,95.7,82.9,687.2,18.9,24.7,27,5,0,1.12
7,6,6,5,94.5,58.4,435.3,8.1,24.2,41,5.9,0,1.19
10,10,7,7,92.1,70.6,357.2,8.2,25.8,31,2.7,0,1.36
4,5,7,6,92.1,53.2,426.1,7.2,25.6,45,2.3,0,1.43
6,5,9,5,96.3,87.1,694.3,16.9,21.1,49,5.4,0,1.46
2,6,9,6,95.4,147.4,723.4,9.1,30.6,29,3.2,0,1.46
8,5,8,7,96.8,110.3,649.1,18,17.4,49,1.8,0,1.56
3,5,9,6,95.4,147.4,723.4,9.1,29.6,29,2.7,0,1.61
3,3,8,3,94.1,113.2,656.1,10.6,19.4,47,4.1,0,1.63
3,5,8,3,94.1,113.2,656.1,10.6,21.5,37,4.5,0,1.64
8,5,9,5,94.4,119.9,670,13.2,20,36,6.3,0,1.69
7,5,8,4,97.2,133.7,580.8,11.4,21.3,43,4.5,0,1.9
7,4,3,6,92.6,52.1,102.4,8.8,16.2,33,9,0,1.94
9,7,9,6,94.5,123.1,676.4,9.6,18.8,58,2.3,0,1.95
9,6,9,7,91.7,92,706.4,5.8,18.8,69,2.7,0,2.01
7,6,3,4,86.9,20.2,57,4,6.3,72,5,0,2.14
7,6,8,3,94.1,113.2,656.1,10.6,17.6,49,1.4,0,2.29
7,6,8,3,98,129.1,572.5,17.5,24.4,35,5,0,2.51
7,6,3,5,93.2,50.3,99.8,13.5,15.6,28,9.9,0,2.53
6,5,9,3,94.9,135.3,701.6,10.2,22.9,37,2.3,0,2.57
9,7,8,3,87.6,92.4,611.6,7.6,18.4,52,4.5,0,2.69
8,5,8,7,93.4,144.4,603.4,11.6,21.1,41,5.9,0,2.74
5,5,9,1,92.9,128.5,688.5,8,18.7,41,2.7,0,3.07
2,5,8,6,92.2,98.9,626.2,9.9,15.2,55,2.3,0,3.5
2,5,8,6,92.2,98.9,626.2,9.9,21.3,41,5.4,0,4.53
7,6,4,4,83.5,11.1,57.2,3.7,6.8,56,6.3,0,4.61
3,6,8,7,92.2,101.6,633.2,7.3,20.2,46,3.2,0,4.69
3,6,9,3,92.1,84.9,737.7,7.2,19.3,47,2.7,0,4.88
9,7,8,2,90.8,149.3,616.5,10,15.4,68,5.9,0,5.23
2,4,9,7,94.4,126.1,682.7,9.5,24.9,34,7.2,0,5.33
9,7,10,1,86.9,34.8,666.2,4,20.1,34,4.5,0,5.44
6,5,2,7,88.8,17.6,50.3,4.9,13.4,55,2.7,0,6.38
8,5,10,1,93.7,50.5,698.1,12.1,17.8,47,5,0,6.83
9,7,8,5,95.9,137.7,588.7,16.1,21.8,36,5.4,0,6.96
3,6,9,2,93,131.5,694.6,8,18.6,48,3.6,0,7.04
9,7,3,7,91.3,53.3,104.2,10.6,12.5,41,6.3,0,7.19
2,6,9,1,92.9,128.5,688.5,8,22,44,2.7,0,7.3
7,5,3,6,92.8,43.9,91.4,8.9,14.3,44,1.4,0,7.4
8,5,3,7,92.7,46,94.4,6.5,12.5,62,4.5,0,8.24
7,6,3,5,93.2,50.3,99.8,13.5,12.7,35,4.5,0,8.31
3,3,8,2,96.8,110.3,649.1,18,25.6,24,5,0,8.71
5,6,9,3,94.9,135.3,701.6,10.2,25.3,27,4.5,0,9.41
3,3,8,2,96.8,110.3,649.1,18,25.6,24,5,0,10.01
3,6,8,5,95.9,137.7,588.7,16.1,24.5,38,5.9,0,10.02
7,6,4,4,83.5,11.1,57.2,3.7,6.8,56,6.3,0,10.93
5,6,9,4,94.9,139,708.4,10.2,22.5,17,1.4,0,11.06
4,5,9,2,93,131.5,694.6,8,14.9,61,6.8,0,11.24
3,5,9,1,65.5,72.8,667.3,1.8,23.6,40,4.1,0,11.32
7,6,3,7,92.1,39.6,85.7,8.2,13.4,56,4.1,0,12.1
8,5,2,7,85.9,10.7,34.1,3.1,9.8,70,2.7,0,13.05
9,7,10,3,93.4,39.9,675.8,6.2,21.2,39,3.2,0,13.7
6,7,3,6,92.6,52.1,102.4,8.8,16.1,66,4.5,0,13.99
5,6,9,4,94.9,139,708.4,10.2,23.1,36,2.3,0,14.57
3,3,8,6,95.5,141.4,596.2,21.3,23.9,33,7.7,0,15.45
8,6,9,2,93,131.5,694.6,8,21.7,39,2.7,0,17.2
7,6,9,5,94.4,119.9,670,13.2,20.6,35,6.8,0,19.23
9,4,9,4,95.7,82.9,687.2,18.9,24.2,28,5.4,0,23.41
5,5,10,6,92.6,45.7,688.9,7.7,19.4,27,3.6,0,24.23
8,5,8,6,95.5,141.4,596.2,21.3,6.1,98,6.3,0,26
8,5,9,5,96.3,87.1,694.3,16.9,21.1,49,5.4,0,26.13
8,4,3,1,89.6,54.2,105.8,6,12,48,6.3,0,27.35
5,5,3,6,93.7,37.8,82.8,8.8,18,29,5.4,0,28.66
5,5,3,6,93.7,37.8,82.8,8.8,18,29,5.4,0,28.66
5,5,9,7,94.4,126.1,682.7,9.5,17.9,62,1.8,0,29.48
2,4,9,1,90.6,93.8,711.9,8.1,13.4,75,6.8,0,30.32
5,6,9,3,94.9,135.3,701.6,10.2,20.4,21,1.8,0,31.72
7,6,3,1,92.1,41.7,88.6,7.2,16.2,29,3.6,0,31.86
9,7,8,7,92.2,101.6,633.2,7.3,17.2,61,3.6,0,32.07
5,4,3,1,89.6,54.2,105.8,6,12,48,6.3,0,36.85
3,3,7,5,90.3,152.3,311.9,7.8,14.4,81,4.1,0,37.02
8,5,9,3,92.1,84.9,737.7,7.2,16.4,59,5,0,37.71
5,5,9,7,95.5,151.3,730.6,9.1,23.9,41,5.4,0,48.55
8,6,10,1,93.7,50.5,698.1,12.1,17.1,46,4.5,0,49.37
9,7,8,6,94.2,83.8,482.8,12.9,21.1,36,5,0,58.3
5,7,9,7,95.5,151.3,730.6,9.1,29.3,28,3.6,0,64.1
9,7,8,6,94.2,83.8,482.8,12.9,17.4,45,4.5,0,71.3
5,5,9,3,94.9,135.3,701.6,10.2,27.4,23,5,0,88.49
2,6,9,7,95.5,151.3,730.6,9.1,28.8,29,3.6,0,95.18
7,5,9,2,93,131.5,694.6,8,19.7,45,3.2,0,103.39
5,6,9,6,94.5,123.1,676.4,9.6,18.7,27,3.6,0,154.88
9,7,8,7,93.4,144.4,603.4,11.6,20.6,43,6.3,0,196.48
3,3,9,6,94.5,123.1,676.4,9.6,19.2,48,2.3,0,200.94
2,3,9,2,93,131.5,694.6,8,19.8,42,2.7,0,212.88
7,6,9,6,94.5,123.1,676.4,9.6,26.1,29,4.5,0,1090.84
8,6,4,7,83.9,5,9.9,4.5,14.4,77,2.3,0,0
7,4,4,3,90,19.2,45.5,4.8,16.2,53,3.2,0,0
5,5,4,5,85,25.3,87.3,3.3,17.7,22,3.6,0,0
3,5,8,7,96.2,124.3,591.9,13.9,16.4,68,4.5,0,10.13
8,5,8,7,93.8,177.1,702.7,14.8,22.9,75,8.1,1,0
3,5,8,7,93.8,177.1,702.7,14.8,23.4,56,8.1,0,2.87
4,5,8,7,93.8,177.1,702.7,14.8,27.8,40,6.8,0,0.76
6,5,8,7,93.8,177.1,702.7,14.8,26.7,41,5.9,0,0.09
3,5,8,3,94.2,93.6,505.6,10.6,21.7,72,2.7,0,0.75
9,7,8,3,95.1,159.3,668.7,14.5,29.7,30,3.2,0,0
4,5,8,3,95.1,159.3,668.7,14.5,22.7,42,0.9,0,2.47
9,6,8,3,95.1,159.3,668.7,14.5,27.8,27,3.6,0,0.68
9,6,8,3,95.1,159.3,668.7,14.5,25,38,3.6,0,0.24
7,6,8,3,95.1,159.3,668.7,14.5,23.1,39,4.1,0,0.21
8,5,8,4,93.9,111.2,567.5,9,22.4,40,3.2,0,1.52
7,4,8,4,93.6,140.1,623.7,7.3,19.9,43,3.6,0,10.34
3,6,8,4,89.5,79,696.8,6,23.3,48,4.5,0,0
9,7,8,6,96.2,119.2,583.1,12,24.9,43,2.7,0,8.02
5,4,8,6,96.2,119.2,583.1,12,22.4,46,3.2,0,0.68
4,5,8,6,93.8,172.9,694.3,14.7,21.6,61,1.4,0,0
